county_code,name,pct_change_05_24,pct_change_09_24,pct_change_14_24,pct_change_19_24
005,Angelina,13.82595506683098,17.026460698796356,11.052023121387283,-3.57357960248946
021,Bastrop,94.15960166868523,68.04099697181458,48.980329392327945,47.55573736960524
027,Bell,52.0345140781108,49.86123131099108,24.751884929260807,17.42134614710112
029,Bexar,41.005561897088114,37.46651974448633,20.865388304811603,20.004333498418987
037,Bowie,-8.430523158947018,-9.709216362740266,-3.844639811048419,-8.178097067914125
039,Brazoria,46.11274230132335,30.814656085315264,20.171442959164988,12.173364955237913
041,Brazos,73.85268283054249,43.69306903771379,28.968176493557202,13.574038254889317
061,Cameron,24.123876657869243,18.71172504872568,15.91908897093235,10.502835388825
085,Collin,96.4551551775139,64.14765046506467,40.9514981938513,21.788432894470933
091,Comal,115.40654534093574,73.80494721915866,72.59755296179242,26.43438395415473
099,Coryell,36.43067846607669,18.453066974004354,15.437414201921875,21.01785831098319
113,Dallas,12.305046551621894,9.469790025867427,3.9147030278504626,1.8271269713782592
121,Denton,110.41081327359707,84.7106584096045,45.12344579802445,29.221657417338992
135,Ector,45.38283955367449,37.61267413275061,26.884007275780046,22.841429384194413
139,Ellis,81.30154228999682,59.889759358971084,53.47834607093866,29.366341131047015
141,El Paso,24.052988018158818,19.861827876696037,14.066661753713666,13.805472401659577
157,Fort Bend,131.09155938375093,94.47183810605236,45.094989961354116,21.81835011667958
167,Galveston,41.73717514450034,26.773328520227935,23.83105189588082,10.64689268715329
181,Grayson,31.413050549736514,21.904043452021725,22.912863575514177,26.996950740309956
183,Gregg,19.151684056690343,18.523276648973937,12.153299849643302,21.215683562685843
187,Guadalupe,87.06060830311552,67.73947377152527,28.039205754229563,18.008870214752566
201,Harris,32.73442960262568,21.543652337750107,15.245833038010694,6.575807149642554
203,Harrison,,,16.78429511891347,10.06092448717232
209,Hays,159.68510921388182,135.86102719033232,72.70850232283756,34.48493664586763
213,Henderson,4.742913504009605,8.550731078618728,9.37709909990596,16.949964089059133
215,Hidalgo,31.659117475160727,22.65016645776737,15.30316278871377,10.22155624531735
221,Hood,,,,
231,Hunt,50.85443191170064,51.081159701347815,47.4286795666367,30.50506742608259
245,Jefferson,0.11787754017797847,-4.763183246734788,0.24269827285270212,4.525757470706511
251,Johnson,49.156446133471526,36.304559446446895,21.123138428447852,15.976808220098052
257,Kaufman,75.40048277375466,73.12107429066494,46.26871134209274,25.191867932211885
291,Liberty,50.77781039037276,39.161293818063605,48.6400462962963,32.36961451247166
303,Lubbock,19.68615812073756,18.248744423994758,7.822055351708053,7.2606887184856115
309,McLennan,27.839560655094637,24.31386012092083,13.130489117228453,5.310864085826925
329,Midland,58.89533971442022,42.58518727119122,36.016118200134315,29.89558480207291
339,Montgomery,104.2946360704234,74.81980873356304,49.90352582945176,25.061465230486757
347,Nacogdoches,,,10.02776725987631,12.556488056810847
355,Nueces,14.149965661484673,16.268155571948213,2.8995621391024415,1.7191116254228236
361,Orange,2.2872296345404823,1.6177499691269088,5.284258114044441,7.14874777551109
367,Parker,59.61007977335421,67.85714285714286,39.007207324199726,23.945578231292515
375,Potter,-13.37980278816729,-13.368020131945862,-6.739639771562454,-6.328136490660391
381,Randall,34.05827408336818,34.80058877129039,10.392331314754758,14.12972523885823
397,Rockwall,,72.7509778357236,46.11583074661003,18.61737400530504
409,San Patricio,10.801775634350852,16.23548350005749,21.247376311844075,36.120649027132565
423,Smith,32.100431965442766,33.86577435444157,19.478202069911156,18.17523130085832
427,Starr,,,,
439,Tarrant,33.33523427446449,21.970432400065324,14.824502590076143,6.977627825367333
441,Taylor,1.2693339765429494,7.540101815387571,-3.4411384217335055,1.4865844815083396
451,Tom Green,16.05572939949337,8.607286037998954,21.5339002886791,9.573719752391671
453,Travis,65.76137556704502,43.14086061051857,36.62439231469425,15.850973985518282
467,Van Zandt,,,,
469,Victoria,-4.438238453276047,-1.8056597942695687,-2.618213660245184,7.1903614457831315
471,Walker,,,31.15130127922364,19.482398328243047
473,Waller,,,,
479,Webb,31.30299289718113,18.480781521044463,12.20710048939077,2.8402066757536373
485,Wichita,0.355939744486112,-2.9444307843619377,11.014238003164001,7.426433066848103
491,Williamson,132.38155198380366,93.06182310469315,57.52947772747433,36.748852211309355
497,Wise,,,,19.340432840948125
