name,pct_chg_migration_14_24
Kaufman,135.52544300198997
Bastrop,75.63115487914055
Randall,74.856524093124
Collin,63.660285196565034
Midland,62.96949650863654
Johnson,49.1131498470948
Hunt,47.1117485982527
Guadalupe,45.52661381653454
Smith,44.956230058087215
Hidalgo,41.10738255033557
Bexar,41.01884300878663
Henderson,33.09554690877648
Hays,31.806824392910126
Ellis,30.48052063831684
Denton,26.77024237705019
Walker,24.62140723189451
Tarrant,21.528088247370007
Ector,20.869037688632744
Cameron,20.233381954573872
Williamson,17.58548246884961
Angelina,16.88551877196227
Coryell,16.57450829425352
Bowie,16.100377526093716
Harris,14.38839038440235
McLennan,12.96794714949841
Comal,10.504729220724867
Dallas,9.948179013159631
Grayson,9.09818264944565
Parker,8.88888888888889
Harrison,8.60215053763441
Travis,7.765345560413476
Potter,5.611020818822072
Victoria,4.1172800998128505
Brazoria,1.075018615040953
Montgomery,0.4794520547945206
Bell,0.36218556350980446
Brazos,-1.7500368894791205
El Paso,-3.276029841063899
Fort Bend,-3.733441805351679
Rockwall,-6.736363636363636
Lubbock,-7.921230224582365
Wichita,-9.141315750037464
Tom Green,-10.356371490280777
San Patricio,-17.566191446028515
Gregg,-19.496988270104616
Orange,-20.27684249906472
Galveston,-23.378789001704586
Jefferson,-25.42703500632644
Liberty,-28.22474596533174
Nueces,-33.518592033875876
Nacogdoches,-39.2214685933353
Webb,-45.03386004514673
Taylor,-52.75452335943829
Hood,
Starr,
Van Zandt,
Waller,
Wise,
